agency_abb,date,count,table,root
dhs,2019-01-01,63614,number of unduplicated individuals,ll37 historical
hra,2019-01-01,8317,number of unduplicated individuals,ll37 historical
dycd,2019-01-01,291,number of unduplicated individuals,ll37 historical
hpd,2019-01-01,2048,number of unduplicated individuals,ll37 historical
dhs,2019-02-01,66416,number of unduplicated individuals,ll37 historical
hra,2019-02-01,8233,number of unduplicated individuals,ll37 historical
dycd,2019-02-01,315,number of unduplicated individuals,ll37 historical
hpd,2019-02-01,2186,number of unduplicated individuals,ll37 historical
dhs,2019-03-01,62858,number of unduplicated individuals,ll37 historical
hra,2019-03-01,8264,number of unduplicated individuals,ll37 historical
dycd,2019-03-01,342,number of unduplicated individuals,ll37 historical
hpd,2019-03-01,2126,number of unduplicated individuals,ll37 historical
dhs,2019-04-01,62423,number of unduplicated individuals,ll37 historical
hra,2019-04-01,8276,number of unduplicated individuals,ll37 historical
dycd,2019-04-01,368,number of unduplicated individuals,ll37 historical
hpd,2019-04-01,2147,number of unduplicated individuals,ll37 historical
dhs,2019-05-01,60899,number of unduplicated individuals,ll37 historical
hra,2019-05-01,18438,number of unduplicated individuals,ll37 historical
dycd,2019-05-01,360,number of unduplicated individuals,ll37 historical
hpd,2019-05-01,2040,number of unduplicated individuals,ll37 historical
dhs,2019-06-01,60640,number of unduplicated individuals,ll37 historical
hra,2019-06-01,8319,number of unduplicated individuals,ll37 historical
dycd,2019-06-01,323,number of unduplicated individuals,ll37 historical
hpd,2019-06-01,2005,number of unduplicated individuals,ll37 historical
dhs,2019-07-01,61375,number of unduplicated individuals,ll37 historical
hra,2019-07-01,8531,number of unduplicated individuals,ll37 historical
dycd,2019-07-01,870,number of unduplicated individuals,ll37 historical
hpd,2019-07-01,2005,number of unduplicated individuals,ll37 historical
dhs,2019-08-01,62358,number of unduplicated individuals,ll37 historical
hra,2019-08-01,8589,number of unduplicated individuals,ll37 historical
dycd,2019-08-01,402,number of unduplicated individuals,ll37 historical
hpd,2019-08-01,2156,number of unduplicated individuals,ll37 historical
dhs,2019-09-01,62348,number of unduplicated individuals,ll37 historical
hra,2019-09-01,8655,number of unduplicated individuals,ll37 historical
dycd,2019-09-01,384,number of unduplicated individuals,ll37 historical
hpd,2019-09-01,2095,number of unduplicated individuals,ll37 historical
dhs,2019-10-01,52239,number of unduplicated individuals,ll37 historical
hra,2019-10-01,8634,number of unduplicated individuals,ll37 historical
dycd,2019-10-01,352,number of unduplicated individuals,ll37 historical
hpd,2019-10-01,2152,number of unduplicated individuals,ll37 historical
dhs,2019-11-01,62086,number of unduplicated individuals,ll37 historical
hra,2019-11-01,8520,number of unduplicated individuals,ll37 historical
dycd,2019-11-01,357,number of unduplicated individuals,ll37 historical
hpd,2019-11-01,2003,number of unduplicated individuals,ll37 historical
dhs,2019-12-01,61963,number of unduplicated individuals,ll37 historical
hra,2019-12-01,4755,number of unduplicated individuals,ll37 historical
